;World Equities;Emerging Equities;World Bonds;US High Yield;Oil;Dollar;Gold
31.12.1999;1420.89;489.42;140.509;508.108;25.6;101.87;288
07.01.2000;1375.88;492.1;140.697;505.785;24.22;100.72;281.75
14.01.2000;1402.14;515.63;139.454;505.351;28.02;101.72;284.2
21.01.2000;1376.52;507.49;139.421;505.37;29.66;101.81;289.1
28.01.2000;1334.47;499.05;138.197;505.752;27.22;104.48;283.25
04.02.2000;1380.88;515.43;137.986;505.96;28.82;104.29;310.3
11.02.2000;1365;529.45;137.393;506.24;29.44;104.1;310.95
18.02.2000;1333.48;518.6;137.486;506.68;29.51;104.63;305
25.02.2000;1332.04;505.52;137.624;507.201;30.35;105.26;292.6
03.03.2000;1383.94;516.31;137.952;505.928;31.51;106;288.8
10.03.2000;1373.68;518.63;138.595;505.497;31.76;105.71;289
17.03.2000;1399.44;499.91;139.601;503.866;30.91;105.2;284.6
24.03.2000;1447.93;514.12;139.463;502.907;28.02;104.77;285
31.03.2000;1431.94;499.4;141.033;498.944;26.9;105.44;279.08
07.04.2000;1432.62;500.3;140.876;499.978;25.04;105.97;280
14.04.2000;1329.98;464.27;140.51;499.99;25.57;105.47;282.6
21.04.2000;1362.52;450.56;140.51;499.99;27.35;107.45;280
28.04.2000;1370.11;451.36;136.675;498.833;25.74;110.14;273.55
05.05.2000;1357.15;446.25;134.39;496.753;27.29;111.31;278.95
12.05.2000;1344.75;431.91;135.17;496.21;29.62;109.9;276.15
19.05.2000;1314.59;425.34;134.668;494.487;29.89;111.47;274.25
26.05.2000;1302.29;410.21;137.645;492.967;30;109.12;272.25
02.06.2000;1390.18;448.7;139.259;495.434;30.35;108.12;281.15
09.06.2000;1379.61;453.12;139.99;498.471;30.2;106.99;283.85
16.06.2000;1380.48;443.93;141.418;500.338;32.33;105.96;289.25
23.06.2000;1365.73;439.09;139.793;501.491;32.25;108.1;283.15
30.06.2000;1377.72;445.52;141.118;502.07;32.5;106.84;289.53
07.07.2000;1394.35;451.7;140.091;503.341;30.28;107.65;283.65
14.07.2000;1404.51;454.95;139.234;504.484;31.4;108.45;281.3
21.07.2000;1377.75;442.43;139.273;506.526;30.93;108.44;280.35
28.07.2000;1329.38;421.13;138.972;505.609;28.18;109.74;278.38
04.08.2000;1345.52;423.5;138.812;506.491;29.96;110.85;273.5
11.08.2000;1357.52;425.76;138.691;508.243;31.02;111.21;275.15
18.08.2000;1370.69;429.85;138.676;507.782;31.99;111.01;276.65
25.08.2000;1383.45;426.79;138.844;509.281;32.03;111.35;274.25
01.09.2000;1395.15;423.72;139.103;512.091;33.38;111.42;276.75
08.09.2000;1353.77;419.29;136.858;515.398;33.63;114.34;273.05
